Gene,median,biorep,counts,condition,time,treatment
Z2,204.96368334915,Bio2,676.568743052537,6h_Dd,6h,Dd
Z2,204.96368334915,Bio3,101.251917113138,2h_xx,2h,xx
Z2,204.96368334915,Bio3,132.454828020518,2h_Dx,2h,Dx
Z2,204.96368334915,Bio3,128.063343226269,2h_xd,2h,xd
Z2,204.96368334915,Bio3,146.387875561137,2h_Dd,2h,Dd
Z2,204.96368334915,Bio3,101.503477321532,6h_xx,6h,xx
Z2,204.96368334915,Bio3,331.398058824161,6h_Dx,6h,Dx
Z2,204.96368334915,Bio3,178.142892426595,6h_xd,6h,xd
Z2,204.96368334915,Bio3,823.974741844089,6h_Dd,6h,Dd
Z2,204.96368334915,Bio1,185.293016962974,12h_xx,12h,xx
Z2,204.96368334915,Bio1,320.499456755186,12h_Dx,12h,Dx
Z2,204.96368334915,Bio1,467.285681144682,12h_xd,12h,xd
Z2,204.96368334915,Bio1,959.62533683582,12h_Dd,12h,Dd
Z2,204.96368334915,Bio1,153.377447640563,24h_xx,24h,xx
Z2,204.96368334915,Bio1,147.773103317976,24h_Dx,24h,Dx
Z2,204.96368334915,Bio1,521.952011696079,24h_xd,24h,xd
Z2,204.96368334915,Bio1,485.449674136973,24h_Dd,24h,Dd
Z2,204.96368334915,Bio2,277.403803823977,12h_xx,12h,xx
Z2,204.96368334915,Bio2,312.314431879864,12h_Dx,12h,Dx
Z2,204.96368334915,Bio2,555.59074549239,12h_xd,12h,xd
Z2,204.96368334915,Bio2,1079.5134906478,12h_Dd,12h,Dd
Z2,204.96368334915,Bio2,213.522109270691,24h_xx,24h,xx
Z2,204.96368334915,Bio2,190.85070459991,24h_Dx,24h,Dx
Z2,204.96368334915,Bio2,682.96035861529,24h_xd,24h,xd
Z2,204.96368334915,Bio2,454.326978702927,24h_Dd,24h,Dd
Z2,204.96368334915,Bio3,277.832540731287,12h_xx,12h,xx
Z2,204.96368334915,Bio3,396.800637153754,12h_Dx,12h,Dx
Z2,204.96368334915,Bio3,568.489980002571,12h_xd,12h,xd
Z2,204.96368334915,Bio3,1195.74732169438,12h_Dd,12h,Dd
Z2,204.96368334915,Bio3,196.405257427608,24h_xx,24h,xx
Z2,204.96368334915,Bio3,161.767925112644,24h_Dx,24h,Dx
Z2,204.96368334915,Bio3,747.579811566841,24h_xd,24h,xd
Z2,204.96368334915,Bio3,476.225275901386,24h_Dd,24h,Dd
Z1,560.301633471895,Bio1,465.847603033788,2h_xx,2h,xx
Z1,560.301633471895,Bio1,571.492760748674,2h_Dx,2h,Dx
Z1,560.301633471895,Bio1,514.824239250267,2h_xd,2h,xd
Z1,560.301633471895,Bio1,552.225958528075,2h_Dd,2h,Dd
Z1,560.301633471895,Bio1,466.043050258312,6h_xx,6h,xx
Z1,560.301633471895,Bio1,1711.4256626883,6h_Dx,6h,Dx
Z1,560.301633471895,Bio1,580.136798006858,6h_xd,6h,xd
Z1,560.301633471895,Bio1,802.374891951981,6h_Dd,6h,Dd
Z1,560.301633471895,Bio2,475.250893859879,2h_xx,2h,xx
Z1,560.301633471895,Bio2,578.216398742034,2h_Dx,2h,Dx
Z1,560.301633471895,Bio2,474.878467655533,2h_xd,2h,xd
Z1,560.301633471895,Bio2,537.228452214598,2h_Dd,2h,Dd
Z1,560.301633471895,Bio2,417.393511438228,6h_xx,6h,xx
